"uriAudiencia","codigoAudiencia","observaciones","descripcion","materia","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar7041","nr006ar7041","Proyecto de ley de fortalecimiento del Ministerio Público","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar7091","nr006ar7091","AVP","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar7141","nr006ar7141","Proyecto de ley Pacto Unión Civil ex Acuerdo de Vida en Pareja","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar7231","nr006ar7231","Proyectos de ley relativos a mejoras remuneracionales para los funcionarios municipales","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar7251","nr006ar7251","presentar proyecto de ley acoso callejero","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar7281","nr006ar7281","Proyecto de ley de navegacion en aguas interiores y canales","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar7301","nr006ar7301","Presentar proyecto de ley sobre navegación en aguas interiores y canales","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar7441","nr006ar7441","Rediseño del Servicio y Falta de Personal en la Región","Arica, Región de Arica y Parinacota","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac0011731","ac0011731","Visita junio 2015 Presidenta","Oficina del Embajador","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ac0013771","ac0013771","Somos un tour operator frances especializado en la organizacion de traversias. Ya organizamos el ""Trophée Roses des Andes"" en Argentina y queremos extender el evento en Chile por abril 2016. Necesitamos todas formas de ayuda que podemos tener por ejemplo para el paso en aduanas Argentina/Chile.","Oficina Embajador","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0081361","ad0081361","Esta reunión fue de carácter protocolar , con el fin principal de conocer al nuevo Comandante del Comando Logístico y Presidente de FIDAE 2016 por partede la empresa Kallman Worldwide, dado que esta empresa es Agente de FIDAE por más de 20 años. Por lo que en la reunión explicó a grandes rasgos como comenzó a trabajar en FIDAE y la evalución que ha tenido a través de los años, además de dar una breve reseña de cómo son las diferentes ferias alrededor del mundo en comparación de FIDAE, la que tiene un puesto aventajado dentro del circuito de ferias","Pedro Aguirre Cerda 5.500 Los Cerrillos, Edificio Comando Logístico 4to. piso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0083791","ad0083791","Entrega carta invitación de Kongsberg,  a lo cual Gral. Sr. Aguirre  indica que no se podrá asistir al citado evento. Presentación carta cotización ThalesRaytheon LLC, USA.","Avda. Pedro Aguirre Cerda 5.500, Comando Logístico 1er. piso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0084081","ad0084081","Visita protocolar Kallman Worldwide (T. kallman - P. Mckenna y R. Ortega)","AVDA. PEDRO AGUIRRE CERDA N° 5500 - EDIF. DELPHOS - PISO 16","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ad0084091","ad0084091","Estimado General de Aviación Jorge Robles Mella – Comandante en Jefe de la FACh    Junto con saludarle,  le hago una solicitud de audiencia con usted en nombre de Embraer Defensa & Seguridad (ED&S) de Brasil.  Estuvimos juntos en una cita en la FACh el 11 de diciembre del 2014, donde estában presentes el CEO de ED&S, el Vicepresidente y Director Comercial de ED&S , el Director Ejecutivo de ENAER, el Jefe de Marketing y Nuevos Negocios de ENAER, y yo, Gerente Regional para ED&S en Sudamerica.  Quedamos de enviarle un borrador de un Protocolo de Intenciones entre Brasil y Chile para asuntos de cooperación en el ámbito de defensa entre ambos países, de hecho hablamos tambíen de una posible firma de este documento entre el Ministerio de Defensa de Chile y el Ministerio de Defensa de Brasil durante el evento en Rio de Janeiro, la feria internacional de defensa LAAD 2015.   Dicho borrador de este protocolo ya esta listo y tenemos la intención de concertar una cita con usted a la mayor brevedad posible para poder entregarle este documento y para que puedas analisarlo, revisarlo, sugerir algunos cambios, añadir algun asunto que no fué observado por nosotros etc.  Por favor informar fecha y hora de esta nuestra reunión en la FACh de acuerdo a su agenda y disponibilidad.  A espera de respuesta a lo solicitado, me despido saludando con mis más distinguidas consideraciones.    Alexandre  L. Pires 2919-1258 (oficina en Santiago) 9948-3408 (celular Entel en Santiago)","Avda. Pedro Aguirre Cerda #5500, Edif Delphos, Piso 16","Ninguna de las anteriores. - ",2015,1
