Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion;;;
2018;4;ab068301613;DIARIO;Juan José Arcos Srdrovic;AB068176311;GOBERNACIÓN PROVINCIAL DE LA ANTÁRTICA CHILENA;ab068;Gobernador(a);24-11-2018;EDICIÓN N°4;;;
2018;4;ab068301623;LIBRO;Juan José Arcos Srdrovic;AB068176311;GOBERNACIÓN PROVINCIAL DE LA ANTÁRTICA CHILENA;ab068;Gobernador(a);24-11-2018;VISITA DE PRESIDENTE NACIONAL DE BOMBEROS;;;
2018;4;ab068301633;REVISTA;Juan José Arcos Srdrovic;AB068176311;GOBERNACIÓN PROVINCIAL DE LA ANTÁRTICA CHILENA;ab068;Gobernador(a);26-11-2018;EDICIÓN N°20 MUNDO RURAL;;;
2018;4;ab069291643;Juego de tradición chilena, trompo con lienza, por un valor de $5.000;Javier Andrés Maldonado Correa;AB069177558;GOBERNACIÓN PROVINCIAL DE CHACABUCO;ab069;Gobernador(a);06-10-2018;Primer Campeonato de Palin Lampa, financiada a través del Fondo FNDR;;;
2018;4;ab069293063;Frasco de aceitunas por un valor de $5.000 y Frasco Mermelada de Pimientos por un valor $3.000;Javier Andrés Maldonado Correa;AB069177558;GOBERNACIÓN PROVINCIAL DE CHACABUCO;ab069;Gobernador(a);11-10-2018;Ceremonia Inauguración de la Tercera “Feria Campesina Chicureo”;;;
2018;4;ab069294803;Set de cuchillos y tablas de picar, valor aprox. $15.000;Javier Andrés Maldonado Correa;AB069177558;GOBERNACIÓN PROVINCIAL DE CHACABUCO;ab069;Gobernador(a);22-10-2018;Capacitación sobre Educación Financiera realizada por Banco Estado;;;
2018;4;ab069306873;Juego De Sacacorchos Y Accesorios Para Vino 5 Piezas por un monto de $7.990;Javier Andrés Maldonado Correa;AB069177558;GOBERNACIÓN PROVINCIAL DE CHACABUCO;ab069;Gobernador(a);17-12-2018;Consejo Comunal de Seguridad Pública de Colina;;;
2018;4;ab071299623;Flores;Maria José Puigrredon Figueroa;AB071174073;GOBERNACIÓN PROVINCIAL DE MAIPO;ab071;Gobernador(a);08-11-2018;Reunión Cuartel;;;
2018;4;ab076290833;Camiseta DEPORTES IQUIQUE;Miguel Angel Quezada Torres;AB076173295;GOBIERNO REGIONAL REGIÓN DE TARAPACÁ;ab076;Intendente(a);02-10-2018;Entrega de terreno a al club deportivo por parte de Bienes Nacionales;;;
2018;4;ab076290843;Gorro DEPORTES IQUIQUE;Miguel Angel Quezada Torres;AB076173295;GOBIERNO REGIONAL REGIÓN DE TARAPACÁ;ab076;Intendente(a);02-10-2018;Entrega de terreno a al club deportivo por parte de Bienes Nacionales;;;
2018;4;ab079306353;botella de pisco;CARLOS GALLEGUILLOS ROJO;AB07911177;GOBIERNO REGIONAL REGIÓN DE COQUIMBO;ab079;Consejero(a) Regional;06-12-2018;Cuenta Publica del CORE;;;
2018;4;ab079306333;botella de pisco;Alberto Gallardo Flores;AB07911187;GOBIERNO REGIONAL REGIÓN DE COQUIMBO;ab079;Consejero(a) Regional;06-12-2018;Cuenta Publica CORE;;;
2018;4;ab079306313;botella de pisco;Lidia Zapata Pastén;AB07911191;GOBIERNO REGIONAL REGIÓN DE COQUIMBO;ab079;Consejero(a) Regional;06-12-2018;Cuenta Pública CORE;;;
2018;4;ab079306293;botella de vino;Hanna Jarufe Haune;AB07911193;GOBIERNO REGIONAL REGIÓN DE COQUIMBO;ab079;Consejero(a) Regional;03-12-2018;visita a PDI;;;
2018;4;ab079306303;botella de pisco;Hanna Jarufe Haune;AB07911193;GOBIERNO REGIONAL REGIÓN DE COQUIMBO;ab079;Consejero(a) Regional;06-12-2018;cuenta publica del Consejo Regional;;;
2018;4;ab079306343;botella de pisco;Angela Maria Rojas Escudero;AB07911202;GOBIERNO REGIONAL REGIÓN DE COQUIMBO;ab079;Consejero(a) Regional;06-12-2018;Cuenta Publica del CORE;;;
2018;4;ab079306363;botella de pisco;Javier Andrés Vega Ortiz;AB079173367;GOBIERNO REGIONAL REGIÓN DE COQUIMBO;ab079;Consejero(a) Regional;06-12-2018;Cuenta Publica del CORE;;;
2018;4;ab083298893;ESTATUILLA REPRESENTATIVA DE LA ZONA;Ivonne Del Carmen Oses Castro;AB08313893;GOBIERNO REGIONAL REGIÓN DEL MAULE;ab083;Consejero(a) Regional;06-11-2018;SESION ORDINARIA N° 699;;;
2018;4;ab093292683;Tazón;Katherine Martorell;AB093173032;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;ab093;Subsecretario(a);04-10-2018;Reunión Alcalde Illapel;;;
2018;4;ab093311583;Vino;Katherine Martorell;AB093173032;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;ab093;Subsecretario(a);24-12-2018;Navidad;;;
2018;4;ab093311603;Calendario;Katherine Martorell;AB093173032;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;ab093;Subsecretario(a);24-12-2018;Navidad;;;
2018;4;ab093311833;Tazón;Katherine Martorell;AB093173032;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;ab093;Subsecretario(a);26-12-2018;Navidad;;;
