"codigoViaje","destino","pasivo","codigoPasivo","organismo","IdOrPortal","cargo","fechaInicio","fechaTermino","descripcion","costo","financistas"
"af0015822","Valparaíso","Ximena Cecilia  Rincon Gonzalez","AF001219","SUBSECRETARÍA GENERAL DE LA PRESIDENCIA","af001","Ministro(a)",2015-03-18,2015-03-18,"asiste a sesiones en el Congreso Nacional - ",40828,"   MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA - "
"ah0015322","VALPARAÍSO","Luis Felipe Céspedes Cifuentes","AH00178","SUBSECRETARÍA DE ECONOMÍA","ah001","Ministro de Economía, Fomento y Turismo",2015-03-03,2015-03-03,"REUNIÓN CON EQUIPOS DE SUBPESCA Y SERNAPESCA, SALA DEL SENADO - ",40827,"   SUBSECRETARIA DE ECONOMÍA Y EMPRESAS DE MENOR TAMAÑO - "
"aj0016702","ANCUD, PTO. MONTT","Nicolás Eyzaguirre Guzmán","AJ00141","SUBSECRETARÍA DE EDUCACIÓN","aj001","Ministro ",2015-03-25,2015-03-27,"SE TRASLADA HASTA LA REGION DE LOS LAGOS DE VISITA A PUERTO MONTT, ANCUD Y CURACO DE VELEZ - ",244966,"   MINISTERIO DE EDUCACION - "
"ak0013702","VALPARAÍSO","José Antonio Gómez Urrutia","AK00144","SUBSECRETARÍA DE JUSTICIA","ak001","Ministro de Justicia",2015-01-06,2015-01-06,"ASISTENCIA A LA COMISIÓN DE CONSTITUCIÓN DEL SENADO - ",40828,"   SUBSECRETARÍA DE JUSTICIA - "
"ar0016332","Región de Coquimbo, La Serena y Elqui","Claudio Armando Ternicier González","AR001394","SUBSECRETARÍA DE AGRICULTURA","ar001","Subsecretario(a)",2015-03-30,2015-03-31,"Visita en terreno para constatar los daños estructurales ocasionados por la catástrofe de lluvia y alud que afectó a los agricultores de la Región. - ",262277,"   Subsecretaría de Agricultura - "
"nr00372","Buenos Aires, Argentina","Rodrigo Vergara Montes","NR0030079809772-18","BANCO CENTRAL","nr003","Presidente",2015-03-12,2015-03-13,"Panel ""Regulación del mercado bancario y de captiales y prevensión de Crisis:  Nuevas tendencias para los mercados emergentes en el Seminario ""Nuevos desafíso para los mercados emergente - ",548540,"   BANCO CENTRAL - "
"nr00382","Busan, Corea del Sur. Beijing, China Rep. Popular  ","Sebastián  Claro Edwards","NR0030124560306-20","BANCO CENTRAL","nr003","Consejero Banco Central",2015-03-22,2015-03-29,"Reunión Anual de Gobernadores del BID CII 2015 - ",6375331,"   BANCO CENTRAL - "
"nr0081201512","Antofagasta y Santiago","RAUL ENRIQUE ARANCIBIA CERDA","NR008FRI","MINISTERIO PUBLICO","nr008","FISCAL REGIONAL DE TARAPACA",2015-01-13,2015-01-16,"Entrevistas, reuniones o audiencias -  Relacionamiento institucional - ",833772,"   MINISTERIO PUBLICO - "
"nr0082201512","Colchane / Ujina","DANIEL FERNANDO FUENTES TORRES","NR008DERI","MINISTERIO PUBLICO","nr008","DIRECTOR EJECUTIVO TARAPACA",2015-01-21,2015-01-21,"Visitas Técnicas - ",73094,"   MINISTERIO PUBLICO - "
"nr0083201512","Santiago","DANIEL FERNANDO FUENTES TORRES","NR008DERI","MINISTERIO PUBLICO","nr008","DIRECTOR EJECUTIVO TARAPACA",2015-01-22,2015-01-23,"Otro - ",488526,"   MINISTERIO PUBLICO - "
"nr0085201512","Santiago","RAUL ENRIQUE ARANCIBIA CERDA","NR008FRI","MINISTERIO PUBLICO","nr008","FISCAL REGIONAL DE TARAPACA",2015-03-11,2015-03-13,"Entrevistas, reuniones o audiencias - ",522342,"   MINISTERIO PUBLICO - "
"nr0086201512","Santiago","RAUL ENRIQUE ARANCIBIA CERDA","NR008FRI","MINISTERIO PUBLICO","nr008","FISCAL REGIONAL DE TARAPACA",2015-03-27,2015-03-30,"Entrevistas, reuniones o audiencias - ",273407,"   MINISTERIO PUBLICO - "
"ab0813814672","Santa Cruz","Claudia Faundez Fuentes","AB08114448","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Claudia Faundez Fuentes, Consejero(a) Regional",2015-01-28,2015-01-30,"Jornada de trabajo - ",107386,"   GOBIERNO - "
"ab0813825132","Nueva York","Paula Gárate Rojas","AB08114456","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Paula Garate Rojas, Consejero(a) Regional",2015-03-09,2015-03-19,"Metropolis - ",4885196,"   GOBIERNO - "
"nr0013823452","Santiago","Henry Luis Harris Bordones","NR001670","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","nr001","Consejero Consejo de Coordinación Zonal de la Jurisdicción de La Serena",2015-01-19,2015-01-30,"Apoyar en laboral al señor Subdirector de la Corporación Administrativa del Poder Judicial, por reciente nombramiento en dicho cargo. - ",686781,"   Corporación Administrativa del Poder Judicial - "
"nr0013823482","Santiago","Henry Luis Harris Bordones","NR001670","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","nr001","Consejero Consejo de Coordinación Zonal de la Jurisdicción de La Serena",2015-02-01,2015-02-06,"Apoyar en labores al señor Subdirector de la Corporación Administrativa del Poder Judicial, por reciente nombramiento de dicho cargo. - ",384924,"   Corporación Administrativa del Poder Judicial - "
"nr0013823682","Copiapo","Henry Luis Harris Bordones","NR001670","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","nr001","Consejero Consejo de Coordinación Zonal de la Jurisdicción de La Serena",2015-03-27,2015-03-27,"Realiza entrega de productos de primera necesidad, atendido a la catástrofe, a la ciudad de Copiapo. (para emergencia de la Zonal de Copiapo y Tribunales de la Tercera Región) - ",64631,"   Corporación Administrativa del Poder Judicial - "
"nr002152","NUEVA YORK","PATRICIA ARRIAGADA VILLOUTA","NR0022","CONTRALORIA GENERAL DE LA REPUBLICA","nr002","SUBCONTRALOR GENERAL",2015-02-16,2015-02-20,"ENTREVISTAS, REUNIONES O AUDIENCIAS - ",6097240,"   ORGANIZACIÓN DE NACIONES UNIDAS - "
"nr002182","VIENA, AUSTRIA","PATRICIA ARRIAGADA VILLOUTA","NR0022","CONTRALORIA GENERAL DE LA REPUBLICA","nr002","SUBCONTRALOR GENERAL",2015-03-02,2015-03-06,"SEMINARIOS, CONFERENCIAS O CONGRESOS - ",7432085,"   CONTRALORÍA GENERAL DE LA REPÚBLICA - "
"nr002192","VALPARAÍSO","RAMIRO MENDOZA ZUÑIGA","NR0021","CONTRALORIA GENERAL DE LA REPUBLICA","nr002","CONTRALOR GENERAL",2015-03-19,2015-03-19,"SEMINARIOS, CONFERENCIAS O CONGRESOS - ",0,"   CONTRALORÍA GENERAL DE LA REPÚBLICA - "
"nr002202","ARICA","RAMIRO MENDOZA ZUÑIGA","NR0021","CONTRALORIA GENERAL DE LA REPUBLICA","nr002","CONTRALOR GENERAL",2015-03-22,2015-03-23,"CELEBRACIONES, CONMEMORACIONES E INAUGURACIONES - ",0,"   CONTRALORÍA GENERAL DE LA REPÚBLICA - "
"nr002222","ASUNCIÓN, PARAGUAY","RAMIRO MENDOZA ZUÑIGA","NR0021","CONTRALORIA GENERAL DE LA REPUBLICA","nr002","CONTRALOR GENERAL",2015-03-15,2015-03-17,"RELACIONAMIENTO INSTITUCIONAL - ",0,"   CONTRALORÍA GENERAL DEL PARAGUAY - "
"nr002242","LIMA, PERÚ","RAMIRO MENDOZA ZUÑIGA","NR0021","CONTRALORIA GENERAL DE LA REPUBLICA","nr002","CONTRALOR GENERAL",2015-03-28,2015-03-31,"RELACIONAMIENTO INSTITUCIONAL - ",0,"   CONTRALORÍA GENERAL DEL PERÚ - "
"ab0016092","Valparaíso","Mahmud Aleuy Peña y Lillo","AB001431","SUBSECRETARÍA DEL INTERIOR","ab001","Subsecretario(a)",2015-03-18,2015-03-18,"Reunión Congreso Nacional con bancada socialista - ",122266,"   Ministerio de Interior y Seguridad Pública -     Ministerio del Interior y Seguridad Pública -     Ministerio del Interior y Seguridad Pública,   Subsecretaría del Interior - "
"ab0016102","Temuco","Mahmud Aleuy Peña y Lillo","AB001431","SUBSECRETARÍA DEL INTERIOR","ab001","Subsecretario(a)",2015-03-22,2015-03-23,"Encabezar una reunión del Comité Operativo de Emergencias junto al intendente de La Araucanía, Francisco Huenchumilla, por la alerta roja declarada hace una semana por el incendio activo que afecta a la Reserva China Muerta y al Parque Nacional Conguillío, - ",104348,"   Ministerio del Interior y Seguridad Pública - "
"ab0022152","Valparaíso","Ricardo Cifuentes Lillo","AB002648","SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE)","ab002","Subsecretario(a)",2014-12-31,2015-01-01,"Celebración de año nuevo en el mar, invitado por el Alcalde de la I. M. de Valparaíso Sr. Jorge Castro Muñoz. para participar de la recepción que la Municipalidad ofrece a las autoridades locales, regionales y nacionales. - ",39800,"   Subdere - "
"ab0022372","Provincia de Ñuble","Ricardo Cifuentes Lillo","AB002648","SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE)","ab002","Subsecretario(a)",2015-01-08,2015-01-09,"1. Reunión con la Gobernadora de la Provincia de Ñuble, Sra. Lorena Vera Arriagada. 2. Encuentro con autoridades regionales, provinciales y los alcaldes de las comunas que forman parte de la provincia de Ñuble, que aspira a convertirse en región a través de un proyecto de ley que debe firmar la Presidenta de la República y enviar al Congreso Nacional, en fecha aún no determinada. 3. Visita a la comuna de Quirihue y reunión con el Alcalde. - ",401873,"   Subdere - "
